combination_id,n_d,n_a,n_steps,gamma,lambda_sparse,lr,cat_emb_dim,batch_size,virtual_batch_size
270445,48,32,6,1.0,0.0001,0.025,5,512,128
270446,48,32,6,1.0,0.0001,0.025,5,512,256
270447,48,32,6,1.0,0.0001,0.025,5,1024,64
270448,48,32,6,1.0,0.0001,0.025,5,1024,128
270449,48,32,6,1.0,0.0001,0.025,5,1024,256
270450,48,32,6,1.0,0.0005,0.005,1,256,64
270451,48,32,6,1.0,0.0005,0.005,1,256,128
270452,48,32,6,1.0,0.0005,0.005,1,256,256
270453,48,32,6,1.0,0.0005,0.005,1,512,64
270454,48,32,6,1.0,0.0005,0.005,1,512,128
270455,48,32,6,1.0,0.0005,0.005,1,512,256
270456,48,32,6,1.0,0.0005,0.005,1,1024,64
270457,48,32,6,1.0,0.0005,0.005,1,1024,128
270458,48,32,6,1.0,0.0005,0.005,1,1024,256
270459,48,32,6,1.0,0.0005,0.005,2,256,64
270460,48,32,6,1.0,0.0005,0.005,2,256,128
270461,48,32,6,1.0,0.0005,0.005,2,256,256
270462,48,32,6,1.0,0.0005,0.005,2,512,64
270463,48,32,6,1.0,0.0005,0.005,2,512,128
270464,48,32,6,1.0,0.0005,0.005,2,512,256
270465,48,32,6,1.0,0.0005,0.005,2,1024,64
270466,48,32,6,1.0,0.0005,0.005,2,1024,128
270467,48,32,6,1.0,0.0005,0.005,2,1024,256
270468,48,32,6,1.0,0.0005,0.005,3,256,64
270469,48,32,6,1.0,0.0005,0.005,3,256,128
270470,48,32,6,1.0,0.0005,0.005,3,256,256
270471,48,32,6,1.0,0.0005,0.005,3,512,64
270472,48,32,6,1.0,0.0005,0.005,3,512,128
270473,48,32,6,1.0,0.0005,0.005,3,512,256
270474,48,32,6,1.0,0.0005,0.005,3,1024,64
270475,48,32,6,1.0,0.0005,0.005,3,1024,128
270476,48,32,6,1.0,0.0005,0.005,3,1024,256
270477,48,32,6,1.0,0.0005,0.005,4,256,64
270478,48,32,6,1.0,0.0005,0.005,4,256,128
270479,48,32,6,1.0,0.0005,0.005,4,256,256
270480,48,32,6,1.0,0.0005,0.005,4,512,64
270481,48,32,6,1.0,0.0005,0.005,4,512,128
